Name,Platform,Genre,Critic_Score,User_Score,Rating
FIFA Soccer 13,0.5,0.0,0.8823529411764705,0.6703296703296703,0.2
Final Fantasy X,0.4375,0.6363636363636364,0.9294117647058823,0.901098901098901,1.0
The Sims 3,0.3125,0.8181818181818182,0.8588235294117647,0.7802197802197801,1.0
Final Fantasy VIII,0.375,0.6363636363636364,0.9058823529411765,0.8901098901098901,1.0
Pokémon Platinum Version,0.125,0.6363636363636364,0.8235294117647058,0.8791208791208791,0.2
Grand Theft Auto: Liberty City Stories,0.625,0.0,0.8823529411764705,0.7802197802197801,0.8
Call of Duty: Advanced Warfare,0.5625,0.7272727272727273,0.8235294117647058,0.5714285714285714,0.8
FIFA 17,0.5625,0.9090909090909092,0.8470588235294118,0.4945054945054945,0.2
Super Mario Galaxy 2,0.75,0.36363636363636365,0.988235294117647,0.9450549450549449,0.2
Call of Duty: World at War,0.875,0.7272727272727273,0.8352941176470589,0.7802197802197801,0.8
Battlefield 3,0.875,0.7272727272727273,0.8352941176470589,0.7582417582417582,0.8
Need for Speed Underground,0.4375,0.5454545454545454,0.8470588235294118,0.8901098901098901,0.2
Just Dance,0.75,0.2727272727272727,0.4235294117647058,0.8241758241758241,0.4
Battlefield 3,0.5,0.7272727272727273,0.8470588235294118,0.7692307692307692,0.8
Fallout 4,0.5625,0.6363636363636364,0.8705882352941176,0.6593406593406593,0.8
Tekken 3,0.375,0.18181818181818182,0.9764705882352941,0.9450549450549449,1.0
The Legend of Zelda: Twilight Princess,0.75,0.0,0.9647058823529412,0.9340659340659341,1.0
Crash Bandicoot 3: Warped,0.375,0.36363636363636365,0.9176470588235294,0.9230769230769231,0.2
Mario Kart 8,0.8125,0.5454545454545454,0.8823529411764705,0.9450549450549449,0.2
Super Smash Bros. Melee,0.25,0.18181818181818182,0.9294117647058823,0.9450549450549449,1.0
Need for Speed Underground 2,0.4375,0.5454545454545454,0.8117647058823529,0.8901098901098901,0.2
Medal of Honor: Frontline,0.4375,0.7272727272727273,0.8823529411764705,0.8791208791208791,1.0
Just Dance 4,0.75,0.2727272727272727,0.7176470588235294,0.7472527472527472,0.4
Gears of War 2,0.875,0.7272727272727273,0.9411764705882352,0.7912087912087912,0.8
Uncharted 3: Drake's Deception,0.5,0.0,0.9294117647058823,0.8571428571428572,1.0
Call of Duty 4: Modern Warfare,0.5,0.7272727272727273,0.9529411764705883,0.8681318681318682,0.8
Uncharted 2: Among Thieves,0.5,0.0,0.9764705882352941,0.9120879120879122,1.0
Big Brain Academy,0.125,0.2727272727272727,0.7176470588235294,0.7582417582417582,0.2
Red Dead Redemption,0.5,0.0,0.9647058823529412,0.9120879120879122,0.8
FIFA 14,0.5,0.9090909090909092,0.8588235294117647,0.41758241758241754,0.2
Assassin's Creed III,0.5,0.0,0.8470588235294118,0.7032967032967034,0.8
Donkey Kong Country Returns,0.75,0.36363636363636365,0.8705882352941176,0.8901098901098901,0.2
Halo: Combat Evolved,0.9375,0.7272727272727273,0.988235294117647,0.8901098901098901,0.8
The Elder Scrolls V: Skyrim,0.5,0.6363636363636364,0.9294117647058823,0.6483516483516484,0.8
Pokémon Emerald Version,0.1875,0.6363636363636364,0.7411764705882352,0.9340659340659341,0.2
Kingdom Hearts,0.4375,0.6363636363636364,0.8470588235294118,0.9120879120879122,0.2
Halo 3: ODST,0.875,0.7272727272727273,0.8235294117647058,0.7252747252747251,0.8
Red Dead Redemption,0.875,0.0,0.9647058823529412,0.9340659340659341,0.8
Super Mario Sunshine,0.25,0.36363636363636365,0.9294117647058823,0.8901098901098901,0.2
World of Warcraft,0.3125,0.6363636363636364,0.9411764705882352,0.7472527472527472,1.0
Driver,0.375,0.0,0.8705882352941176,0.8351648351648351,1.0
Gears of War 3,0.875,0.7272727272727273,0.9176470588235294,0.8021978021978021,0.8
Kinect Sports,0.875,0.9090909090909092,0.7058823529411764,0.7582417582417582,0.4
Gears of War,0.875,0.7272727272727273,0.9529411764705883,0.8571428571428572,0.8
FIFA 15,0.5625,0.9090909090909092,0.8117647058823529,0.5714285714285714,0.2
Metal Gear Solid 2: Sons of Liberty,0.4375,0.0,0.9764705882352941,0.901098901098901,0.8
Metal Gear Solid,0.375,0.0,0.9529411764705883,0.9780219780219781,0.8
Metal Gear Solid 4: Guns of the Patriots,0.5,0.0,0.9529411764705883,0.901098901098901,0.8
Final Fantasy XII,0.4375,0.6363636363636364,0.9294117647058823,0.7802197802197801,1.0
The Last of Us,0.5,0.0,0.9647058823529412,0.9450549450549449,0.8
LittleBigPlanet,0.5,0.36363636363636365,0.9647058823529412,0.6923076923076923,0.2
Resident Evil 2,0.375,0.0,0.8941176470588236,0.956043956043956,0.8
Dragon Quest IX: Sentinels of the Starry Skies,0.125,0.6363636363636364,0.8705882352941176,0.9120879120879122,0.4
Tekken 2,0.375,0.18181818181818182,0.8941176470588236,0.9230769230769231,1.0
Destiny,0.5625,0.7272727272727273,0.7411764705882352,0.6153846153846153,1.0
